Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2022-10-31T10:15:00,148.49,2022-11-04T20:45:00,146.61,,-1,1.284,1.267%,101.274
2022-11-06T22:30:00,146.94,2022-11-10T13:30:00,144.62,Stop,-1,1.610,1.584%,102.847
2022-11-10T13:45:00,143.74,2022-11-11T21:45:00,138.74,,-1,3.602,3.476%,106.403
2022-11-13T22:30:00,139.80,2022-11-15T13:30:00,137.98,Stop,-1,1.317,1.300%,107.575
2022-11-15T13:45:00,138.32,2022-11-18T21:45:00,140.40,,-1,-1.488,-1.510%,106.050
2022-11-20T22:30:00,140.34,2022-11-25T21:45:00,139.11,,-1,0.888,0.880%,106.896
2022-11-27T22:30:00,139.20,2022-12-02T13:30:00,135.15,Stop,-1,2.995,2.908%,109.863
2022-12-02T13:45:00,135.88,2022-12-02T21:45:00,134.29,,-1,1.183,1.169%,110.939
2022-12-04T22:30:00,134.35,2022-12-09T21:45:00,136.60,,-1,-1.649,-1.676%,109.256
2022-12-11T22:30:00,136.56,2022-12-13T13:30:00,135.75,Stop,-1,0.603,0.599%,109.812
2022-12-13T13:45:00,135.14,2022-12-14T19:00:00,135.87,Stop,-1,-0.538,-0.541%,109.250
2022-12-14T19:15:00,135.69,2022-12-16T21:45:00,136.72,,-1,-0.754,-0.760%,108.473
2022-12-18T22:30:00,136.12,2022-12-20T03:00:00,135.78,Stop,-1,0.252,0.252%,108.699
2022-12-20T03:15:00,133.25,2022-12-23T21:45:00,132.84,,-1,0.309,0.308%,108.987
2022-12-25T22:30:00,132.69,2022-12-30T21:45:00,131.13,,-1,1.195,1.181%,110.161
2023-01-02T20:30:00,130.73,2023-01-03T08:00:00,130.11,,-1,0.475,0.473%,110.602
2023-01-03T11:15:00,130.68,2023-01-03T13:15:00,130.79,,-1,-0.091,-0.091%,110.489
2023-01-03T14:00:00,130.65,2023-01-03T14:45:00,130.28,,-1,0.287,0.286%,110.756
2023-01-03T22:00:00,130.99,2023-01-04T08:45:00,130.37,,-1,0.476,0.473%,111.211
2023-01-04T10:45:00,130.49,2023-01-05T05:00:00,132.31,,1,1.372,1.391%,112.560
2023-01-05T05:15:00,132.44,2023-01-05T05:30:00,132.57,,1,0.092,0.092%,112.651
2023-01-05T15:30:00,133.94,2023-01-06T21:45:00,132.14,,-1,1.364,1.345%,113.995
2023-01-09T11:15:00,132.45,2023-01-09T14:30:00,132.01,,1,-0.329,-0.328%,113.628
2023-01-09T15:15:00,131.94,2023-01-13T21:45:00,127.89,,1,-3.167,-3.070%,110.442
2023-01-15T22:30:00,127.75,2023-01-16T11:15:00,128.38,,1,0.484,0.486%,111.003
2023-01-16T17:00:00,128.58,2023-01-18T02:30:00,129.56,Stop,-1,-0.755,-0.761%,110.230
2023-01-18T02:45:00,130.20,2023-01-20T21:45:00,129.58,,-1,0.480,0.478%,110.685
2023-01-22T22:30:00,129.57,2023-01-24T06:15:00,130.11,,-1,-0.415,-0.417%,110.247
